Method,Path,Summary,Description,Tags,Parameters,Request Body,Response Codes,Response Schema,Operation ID,Deprecated
GET,/health,ตรวจสอบสถานะระบบเบื้องต้น,ตรวจสอบว่า API สามารถทำงานได้ปกติ (Basic Health Check),Health Check,,,200,HealthResponse,get_health_health_get,No
GET,/health/components,ตรวจสอบสถานะระบบและส่วนประกอบต่างๆ,"ตรวจสอบสถานะการเชื่อมต่อของบริการต่างๆ เช่น Database, Redis, MinIO, Label Studio",Health Check,,,200,HealthResponse,get_components_health_health_components_get,No
POST,/auth/signup,สมัครสมาชิกใหม่,"สร้างบัญชีผู้ใช้ใหม่

- ตรวจสอบ email / username ซ้ำ
- Hash password ด้วย bcrypt
- บันทึกลง PostgreSQL",Authentication,,SignUpRequest,"201, 422",UserResponse,signup_auth_signup_post,No
POST,/auth/login,เข้าสู่ระบบ,"ตรวจสอบ email + password แล้วออก JWT token pair

- Access token (30 นาที)
- Refresh token (7 วัน)",Authentication,,LoginRequest,"200, 422",TokenResponse,login_auth_login_post,No
POST,/auth/logout,ออกจากระบบ,"ออกจากระบบ — client ควรลบ token ออกจาก storage

(Stateless JWT: ฝั่ง server ไม่ได้ blacklist token
แต่ยืนยันว่า token ยัง valid ก่อนตอบ)",Authentication,,,200,app__features__auth__schemas__MessageResponse,logout_auth_logout_post,No
POST,/auth/refresh,ต่ออายุ token,"ใช้ refresh token เพื่อขอ access token ใหม่

- ตรวจสอบว่า refresh token ยัง valid
- ออก access + refresh token ใหม่ทั้งคู่ (token rotation)",Authentication,,RefreshTokenRequest,"200, 422",TokenResponse,refresh_token_auth_refresh_post,No
GET,/auth/me,ดูข้อมูลผู้ใช้ปัจจุบัน,ดึงข้อมูล user ที่ login อยู่,Authentication,,,200,UserResponse,get_me_auth_me_get,No
GET,/profile/me,ดูข้อมูลโปรไฟล์ตัวเอง,ดึงข้อมูลโปรไฟล์ของ user ที่ login อยู่ พร้อม presigned URL ของรูปโปรไฟล์,Profile,,,200,UserResponse,get_my_profile_profile_me_get,No
PUT,/profile/me,แก้ไขข้อมูลโปรไฟล์,อัปเดต full_name และ bio ของ user ที่ login อยู่,Profile,,UpdateProfileRequest,"200, 422",UserResponse,update_my_profile_profile_me_put,No
POST,/profile/me/avatar,อัปโหลดรูปโปรไฟล์ (ไฟล์รูป),"อัปโหลดรูปโปรไฟล์ไป MinIO

- รองรับ: JPEG, PNG, GIF, WebP
- ขนาดไม่เกิน 5MB
- ลบรูปเก่าอัตโนมัติ",Profile,,Body_upload_my_avatar_profile_me_avatar_post,"200, 422",AvatarResponse,upload_my_avatar_profile_me_avatar_post,No
DELETE,/profile/me/avatar,ลบรูปโปรไฟล์,ลบรูปโปรไฟล์จาก MinIO และ clear ข้อมูลใน DB,Profile,,,200,AvatarDeleteResponse,delete_my_avatar_profile_me_avatar_delete,No
POST,/profile/me/avatar-url,ตั้งรูปโปรไฟล์จาก URL (ลิงก์ MinIO),"ตั้งรูปโปรไฟล์โดยใส่ object name ที่เก็บใน MinIO

เช่น ถ้ามีรูปอยู่ใน MinIO แล้ว สามารถใส่ object_name เช่น
`avatars/my-photo.jpg` เพื่อตั้งเป็นรูปโปรไฟล์ได้เลย",Profile,object_name (query),,"200, 422",AvatarResponse,set_avatar_from_url_profile_me_avatar_url_post,No
